tf,contrast,method,nes,n_networks,fdr
CCDC17,basal_to_ciliated,viper,28.564445757194747,2.0,2.504988316756665e-95
CCDC17,basal_to_club,viper,1.7056480207280673,2.0,0.3842572970409339
CCDC17,basal_to_goblet,viper,8.379170790465576,2.0,1.0554838116453505e-08
CDC5L,basal_to_ciliated,viper,1.6663920747779684,3.0,0.3532965123115661
CDC5L,basal_to_club,viper,-4.28664911929837,3.0,0.0054865786249694
CDC5L,basal_to_goblet,viper,-4.00790193523514,3.0,0.0100141946462501
CDX1,basal_to_ciliated,viper,-8.958884350807597,3.0,1.311251395465936e-06
CDX1,basal_to_club,viper,-9.904905807358949,3.0,4.4471242496146134e-08
CDX1,basal_to_goblet,viper,-8.579058499884297,3.0,3.948325396544215e-06
CEBPA,basal_to_ciliated,viper,-4.896054480372149,5.0,0.0067168207150385
CEBPA,basal_to_club,viper,-5.960896801453711,5.0,0.0019945295156587
CEBPA,basal_to_goblet,viper,-8.69050882035534,5.0,2.099595808238332e-06
CEBPB,basal_to_ciliated,viper,-6.879670848494658,6.0,0.0009800139596279
CEBPB,basal_to_club,viper,-3.0564741197914076,6.0,0.1369224175978531
CEBPB,basal_to_goblet,viper,-4.260628284406095,6.0,0.063492013727968
CEBPD,basal_to_ciliated,viper,-8.534402985805153,5.0,8.994025380347918e-07
CEBPD,basal_to_club,viper,-3.3786715470012965,5.0,0.0909922956919871
CEBPD,basal_to_goblet,viper,-4.853477705902676,5.0,0.00961408731438
CEBPE,basal_to_ciliated,viper,-6.833958249929049,3.0,1.46164160368138e-05
CEBPE,basal_to_club,viper,-5.731482058879018,3.0,0.0001638920908046
CEBPE,basal_to_goblet,viper,-5.337215397906823,3.0,0.0003645540606605
CEBPG,basal_to_ciliated,viper,5.336079927328851,4.0,0.0006557996912515
CEBPG,basal_to_club,viper,-4.327223293371449,4.0,0.0198763974750484
CEBPG,basal_to_goblet,viper,-4.149883209985245,4.0,0.0327508048956577
CEBPZ,basal_to_ciliated,viper,-9.009314605627736,5.0,1.0387785292921706e-05
CEBPZ,basal_to_club,viper,-11.114224533771802,5.0,1.265916473283466e-08
CEBPZ,basal_to_goblet,viper,-11.931748106129513,5.0,9.582484982664094e-10
CENPA,basal_to_ciliated,viper,-9.320425912215592,2.0,4.5449788870669866e-10
CENPA,basal_to_club,viper,-11.734877620018093,2.0,4.669397173156243e-15
CENPA,basal_to_goblet,viper,-12.382156376805431,2.0,1.3983631960234645e-15
CENPB,basal_to_ciliated,viper,-1.3231825114484872,3.0,0.1784501513311767
CENPB,basal_to_club,viper,0.34358131669684056,3.0,0.1733973906899709
CENPB,basal_to_goblet,viper,2.078746990424721,3.0,0.1098299605166125
CENPS,basal_to_ciliated,viper,17.168302758039445,2.0,2.6558805950443704e-32
CENPS,basal_to_club,viper,-5.910417267992183,2.0,4.4896159006304846e-05
CENPS,basal_to_goblet,viper,-2.6321843138760523,2.0,0.0118409156605952
CENPT,basal_to_ciliated,viper,-4.379908172846297,3.0,0.0068808500577446
CENPT,basal_to_club,viper,-5.470649429458844,3.0,0.0002917999930868
CENPT,basal_to_goblet,viper,-5.547800299200355,3.0,0.0001575702924258
CENPX,basal_to_ciliated,viper,-7.86914175273015,1.0,1.342209233088421e-13
CENPX,basal_to_club,viper,-2.701876691854624,1.0,0.0344514486924838
CENPX,basal_to_goblet,viper,-1.189192897269293,1.0,0.4422223779147205
CGGBP1,basal_to_ciliated,viper,-0.8762294168874639,2.0,0.6146754740337769
CGGBP1,basal_to_club,viper,-1.021118068266701,2.0,0.6658480945523625
CGGBP1,basal_to_goblet,viper,-2.368348274832967,2.0,0.135549233297798
CHAMP1,basal_to_ciliated,viper,-1.1877967789572634,2.0,0.4923870109140481
CHAMP1,basal_to_club,viper,-3.032096151256954,2.0,0.064700047481562
CHAMP1,basal_to_goblet,viper,-4.416749495136768,2.0,0.0073344674363216
CHCHD3,basal_to_ciliated,viper,-1.1988100384210023,2.0,0.4329647981226575
CHCHD3,basal_to_club,viper,-5.304149146994347,2.0,0.0010959986076125
CHCHD3,basal_to_goblet,viper,-4.104640035324232,2.0,0.011146022095523
CIC,basal_to_ciliated,viper,-1.0780102405103547,3.0,0.1440365297075295
CIC,basal_to_club,viper,1.0929074152901257,3.0,0.4361042028346571
CIC,basal_to_goblet,viper,-1.834950042542586,3.0,0.2392955317891153
CLOCK,basal_to_ciliated,viper,6.170674046943521,5.0,0.0001496238410375
CLOCK,basal_to_club,viper,4.478256784200151,5.0,0.0355021861224079
CLOCK,basal_to_goblet,viper,3.7987726400063795,5.0,0.0462431285427461
CPEB1,basal_to_ciliated,viper,9.021885199785629,2.0,5.949979884616799e-13
