,dataset_id,donor_id,cell_class,n_cells
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339,ciliated,130
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339,club,114
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,basal,700
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,ciliated,937
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,club,700
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344|goblet,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,goblet,34
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353,basal,5225
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353,ciliated,2415
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353,club,1713
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354,basal,3071
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354,ciliated,1338
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354,club,1037
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354|goblet,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354,goblet,92
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363,basal,2229
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363,ciliated,315
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363,club,118
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367,basal,4144
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367,ciliated,944
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367,club,1026
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372,basal,7562
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372,ciliated,1299
