,basal_to_club,basal_to_goblet,basal_to_ciliated
ADORA2B,-0.2819898291386273,-0.2902008379404907,-1.5187182392919987
ADPGK,0.17626891408707207,-0.023054809780425737,0.43127863291829704
ADPRHL1,,0.9099678058970535,1.3516469785098086
ADPRM,-0.6086366993001127,-0.54317454961755,-0.7346254257112309
ADPRS,-0.9954400697952022,-0.41798348837677834,0.9552589068644165
ADRA2A,2.2560129383464984,2.3576010731492287,0.7430417500325945
ADRB1,1.4819427260432314,1.0753357017982224,1.3409216846517567
ADRB2,-1.0210900868737725,-1.4062517744666772,-1.101001576252989
ADRM1,-1.2560576062920679,-0.908334195021022,-0.7000203238267844
ADSL,-0.8722060058711112,-1.559665649761484,-0.8687260428222952
ADSS1,-0.5189915248942171,0.3999688233102898,1.4257564177444082
ADSS2,-1.1143349757366026,-1.4949282061329796,-0.02034986007615477
AEBP1,,-1.608278919293988,
AEBP2,-0.7450786719950718,-1.1367562956323822,-0.2598896598321051
AEN,0.525854312091767,0.26791759049749303,-0.23754125086120556
AFAP1,0.09282194576616266,0.42329598710652644,-1.841528164020419
AFAP1L1,,-0.9581649371338119,0.2509353399589058
AFAP1L2,,-1.245854182158198,-0.5235791926766719
AFDN,1.1173391690429062,0.5172638598541393,1.3828307207304804
AFDN-DT,,,1.1598953870784334
AFF1,1.2112089271782467,0.8520869609086129,0.5233631145378576
AFF4,0.9182748980533368,1.072130445833965,-0.0890478320836973
AFG1L,,0.13439771631560385,1.1770484026601475
AFG2A,-0.19900352037228639,-0.6439391595417191,-0.2880594095021047
AFG2B,-0.4949000892616731,-0.353945408373531,-0.5631079253968958
AFG3L2,-1.0969372807713234,-1.1862531426463314,-1.3109705634358633
AFMID,0.22514695754546646,0.22983368459455275,0.01337762445951757
AFTPH,1.107080623637175,1.089246022429983,0.7368481926514302
AGA,0.43916493554017194,0.3260852957700387,-1.2259047637371343
AGAP1,1.3717464019439136,0.8835818662564446,1.0985869184448498
AGAP2-AS1,-1.8590326679210945,-0.9751187374690083,-2.064866237297079
