tf,target,z,n_lib,likelihood,libraries,w_contrib
FOXA2,RALBP1,0.0450355061875653,2,0.33213535821929296,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.014957883980194186
FOXA2,PIM2,-0.2554878220569435,1,0.3257879751617898,ENCODE_ChIP-seq,-0.08323486022642727
FOXA2,BCAS2,-0.9095337656064484,1,0.3256805675763904,ENCODE_ChIP-seq,-0.29621747301259976
FOXA2,INTS1,0.3505137851031095,2,0.32980635857123886,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.1156016750938783
FOXA2,DLGAP1-AS1,1.3265493927559533,2,0.3234976664197622,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.4291356329471035
FOXA2,IRAK1BP1,-0.6094683336893435,1,0.3234740940129614,ENCODE_ChIP-seq,-0.19714721706974964
FOXA2,PDHB,-1.0308348296599104,1,0.3233002745664706,ENCODE_ChIP-seq,-0.33326918346172996
FOXA2,AGTPBP1,0.8233844745500033,1,0.3229570510929753,ENCODE_ChIP-seq,0.26591782181640805
FOXA2,NEK9,0.8416212335729143,1,0.3211482976713138,ENCODE_ChIP-seq,0.2702852264459726
FOXA2,DYNLRB2,0.7019945043521152,1,0.3206727298530284,ENCODE_ChIP-seq,0.22511049405241643
FOXA2,ELOVL6,-1.1382170578766642,3,0.32106919843838894,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",-0.36544643842136193
FOXA2,TLCD1,0.8591426339078383,2,0.3176785464304711,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.27293118311628844
FOXA2,CCND1,-0.6031031739405806,3,0.32388967871121044,"ENCODE_ChIP-seq,Enrichr_Queries,Literature_ChIP-seq",-0.1953388932373259
FOXA2,WDTC1,0.6670639568787751,1,0.3154904693934212,ENCODE_ChIP-seq,0.21045232087111762
FOXA2,HACL1,-0.9532398996875016,2,0.3199503618743923,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.3049894508581255
FOXA2,IFRD2,0.9789457235786204,2,0.3198282543001204,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3130945018267184
FOXA2,PHLDB2,-1.5540798743270197,2,0.3148334785147943,"ENCODE_ChIP-seq,ReMap_ChIP-seq",-0.48927637272421
FOXA2,SDR39U1,0.5888014279757403,1,0.3146704412632337,ENCODE_ChIP-seq,0.18527840515754831
FOXA2,ABTB1,-0.1886788733461101,1,0.3143814517639303,ENCODE_ChIP-seq,-0.059317138119732826
FOXA2,FUZ,-0.5643278870643608,1,0.3113970601865222,ENCODE_ChIP-seq,-0.17573004501311365
FOXA2,MOK,-0.4061779543023114,1,0.3111695126418489,ENCODE_ChIP-seq,-0.1263901960861134
FOXA2,LPIN1,-0.049415764708397,2,0.3144560558218248,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.015539086465621847
FOXA2,WASL,1.185708964531942,2,0.31415408258782707,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3724953119686946
FOXA2,KLHL5,1.8001181493978973,3,0.3110825738713047,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.5599853871871477
FOXA2,SNX29,0.1524600851162285,2,0.31267269880085413,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.047670106272699096
FOXA2,CRADD,0.894315773525464,2,0.31245264378670984,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.2794313278181877
FOXA2,SRI,0.933120174571837,1,0.3059592015058403,ENCODE_ChIP-seq,0.28549670352098955
FOXA2,FKBP3,-1.3117078076672128,1,0.3051227545156953,ENCODE_ChIP-seq,-0.40023189939516385
FOXA2,SPDEF,1.6875269773876114,1,0.3049743248283891,ENCODE_ChIP-seq,0.514652400558479
FOXA2,RPL3,-1.0522249148632945,1,0.3049734372420103,ENCODE_ChIP-seq,-0.3209006490375406
FOXA2,B4GALT4,0.1980640555769693,1,0.304354353433583,ENCODE_ChIP-seq,0.06028165757356174
FOXA2,FCHO2,1.053026399402626,2,0.30828288507723256,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3246300164703318
FOXA2,PDCD6IP,1.0602704264657912,2,0.3077589999825517,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3263077661601855
FOXA2,DNMBP,0.4280337479753999,2,0.30742709297302534,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.13158917083442576
FOXA2,MAP1LC3B,0.6155799371596938,2,0.3021117147880723,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.18597391040444888
