tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
FOXO3,False,False,False,False,0,0.536
ZNF561,False,False,False,False,0,0.536
AHDC1,False,False,False,False,0,0.537
ZNF664,False,False,False,False,0,0.538
NFYA,False,False,False,False,0,0.538
SGSM2,False,False,False,False,0,0.539
ZBTB25,False,False,False,False,0,0.539
ZNF677,False,False,False,False,0,0.54
SMAD5,False,False,False,False,0,0.543
ZBTB2,False,False,False,False,0,0.545
ZNF518B,False,False,False,False,0,0.547
ZNF44,False,False,False,False,0,0.547
ZNF362,False,False,False,False,0,0.55
IRF6,False,False,False,False,0,0.552
KLF13,False,False,False,False,0,0.553
HINFP,False,False,False,False,0,0.555
CHCHD3,False,False,False,False,0,0.555
ZNF569,False,False,False,False,0,0.555
ZNF626,False,False,False,False,0,0.556
GRHL2,False,False,False,False,0,0.557
ZNF682,False,False,False,False,0,0.557
ZNF721,False,False,False,False,0,0.558
TET3,False,False,False,False,0,0.558
RBPJ,False,False,False,False,0,0.559
TRPS1,False,False,False,False,0,0.559
ZBTB7A,False,False,False,False,0,0.559
NRF1,False,False,False,False,0,0.56
ZNF761,False,False,False,False,0,0.56
SNAI2,False,False,False,False,0,0.561
ZNF83,False,False,False,False,0,0.562
ZNF639,False,False,False,False,0,0.562
BCL11A,False,False,False,False,0,0.562
ZNF444,False,False,False,False,0,0.565
TP63,False,False,False,False,0,0.567
ZBTB7B,False,False,False,False,0,0.567
NFIC,False,False,False,False,0,0.569
FOXP2,False,False,False,False,0,0.569
ZNF526,False,False,False,False,0,0.573
ZNF441,False,False,False,False,0,0.573
THAP7,False,False,False,False,0,0.573
RFX5,False,False,False,False,0,0.575
ZNF608,False,False,False,False,0,0.575
TCF7L2,False,False,False,False,0,0.575
ZSCAN30,False,False,False,False,0,0.578
TSHZ2,False,False,False,False,0,0.578
CREBL2,False,False,False,False,0,0.579
ZNF750,False,False,False,False,0,0.581
TSHZ3,False,False,False,False,0,0.581
MLXIP,False,False,False,False,0,0.582
ETS1,False,False,False,False,0,0.582
ZNF524,False,False,False,False,0,0.585
NR2F6,False,False,False,False,0,0.588
GLI3,False,False,False,False,0,0.589
KAT7,False,False,False,False,0,0.59
ZNF532,False,False,False,False,0,0.59
SOX13,False,False,False,False,0,0.59
ZNF585A,False,False,False,False,0,0.591
ZBTB38,False,False,False,False,0,0.591
THAP11,False,False,False,False,0,0.591
TFAP2A,False,False,False,False,0,0.593
ASCL2,False,False,False,False,0,0.593
FOXA2,False,False,False,False,0,0.593
ZNF502,False,False,False,False,0,0.594
SETDB2,False,False,False,False,0,0.594
HIVEP1,False,False,False,False,0,0.595
ZFP64,False,False,False,False,0,0.595
KLF4,False,False,False,False,0,0.596
KLF8,False,False,False,False,0,0.598
SKI,False,False,False,False,0,0.598
RARG,False,False,False,False,0,0.599
ARHGAP35,False,False,False,False,0,0.6
ZNF528,False,False,False,False,0,0.601
ELF2,False,False,False,False,0,0.602
TFAP2C,False,False,False,False,0,0.603
MBD1,False,False,False,False,0,0.604
EGR2,False,False,False,False,0,0.604
IRX2,False,False,False,False,0,0.605
ETS2,False,False,False,False,0,0.605
ZNF711,False,False,False,False,0,0.605
FOXN3,False,False,False,False,0,0.605
ZNF57,False,False,False,False,0,0.606
NFIB,False,False,False,False,0,0.606
ZKSCAN1,False,False,False,False,0,0.607
FOXP1,False,False,False,False,0,0.611
KLF6,False,False,False,False,0,0.611
SOX2,False,False,False,False,0,0.611
L3MBTL1,False,False,False,False,0,0.611
JDP2,False,False,False,False,0,0.611
ZNF433,False,False,False,False,0,0.612
ZNF580,False,False,False,False,0,0.613
ZNF430,False,False,False,False,0,0.613
SMAD9,False,False,False,False,0,0.614
ZNF658,False,False,False,False,0,0.614
NPAS2,False,False,False,False,0,0.615
KLF16,False,False,False,False,0,0.616
DMRTA2,False,False,False,False,0,0.619
HMBOX1,False,False,False,False,0,0.621
